page,habitat_id,realm,major_habitat_type,ecoregion
4,159,Nearctic,Xeric freshwaters and endorheic (closed) basins,Southern California Coastal - Baja California
4,160,Nearctic,Xeric freshwaters and endorheic (closed) basins,Sonora
5,161,Nearctic,Xeric freshwaters and endorheic (closed) basins,Guzman - Samalayuca
5,162,Nearctic,Tropical and subtropical coastal rivers,Sinaloa
5,163,Nearctic,Xeric freshwaters and endorheic (closed) basins,Mayran - Viesca
5,164,Neotropic,Tropical and subtropical coastal rivers,Rio Santiago
5,165,Nearctic,Xeric freshwaters and endorheic (closed) basins,Lerma - Chapala
5,166,Nearctic,Xeric freshwaters and endorheic (closed) basins,Llanos El Salado
5,167,Neotropic,Tropical and subtropical coastal rivers,Panuco
5,168,Neotropic,Tropical and subtropical coastal rivers,Ameca - Manantlan
5,169,Neotropic,Tropical and subtropical coastal rivers,Rio Balsas
5,170,Neotropic,Tropical and subtropical coastal rivers,Sierra Madre del Sur
5,171,Neotropic,Tropical and subtropical coastal rivers,Papaloapan
5,172,Neotropic,Tropical and subtropical coastal rivers,Coatzacoalcos
5,173,Neotropic,Tropical and subtropical coastal rivers,Grijalva - Usumacinta
5,174,Neotropic,Tropical and subtropical upland rivers,Upper Usumacinta
5,175,Neotropic,Tropical and subtropical coastal rivers,Yucatan
6,176,Nearctic,Oceanic Islands,Bermuda
6,201,Neotropic,Tropical and subtropical coastal rivers,Chiapas - Fonseca
6,202,Neotropic,Tropical and subtropical coastal rivers,Quintana Roo - Motagua
6,203,Neotropic,Tropical and subtropical coastal rivers,Mosquitia
6,204,Neotropic,Tropical and subtropical coastal rivers,Estero Real - Tempisque
6,205,Neotropic,Tropical and subtropical coastal rivers,San Juan (Nicaragua/Costa Rica)
6,206,Neotropic,Tropical and subtropical coastal rivers,Chiriqui
6,207,Neotropic,Tropical and subtropical coastal rivers,Isthmus Caribbean
6,208,Neotropic,Tropical and subtropical coastal rivers,Santa Maria
6,209,Neotropic,Tropical and subtropical coastal rivers,Chagres
6,210,Neotropic,Tropical and subtropical coastal rivers,Rio Tuira
6,211,Neotropic,Tropical and subtropical coastal rivers,Cuba - Cayman Islands
6,212,Neotropic,Tropical and subtropical coastal rivers,Bahama Archipelago
6,213,Neotropic,Tropical and subtropical coastal rivers,Jamaica
6,214,Neotropic,Tropical and subtropical coastal rivers,Hispaniola
7,215,Neotropic,Tropical and subtropical coastal rivers,Puerto Rico - Virgin Islands
7,216,Neotropic,Tropical and subtropical coastal rivers,Windward & Leeward Islands
7,217,Oceania,Oceanic Islands,Cocos Island (Costa Rica)
7,301,Neotropic,Tropical and subtropical coastal rivers,North Andean Pacific Slopes - Rio Atrato
7,302,Neotropic,Tropical and subtropical upland rivers,Magdalena - Sinu
7,303,Neotropic,Large lakes,Maracaibo
7,304,Neotropic,Tropical and subtropical coastal rivers,South America Caribbean Drainages - Trinidad
7,305,Neotropic,Montane freshwaters,Orinoco High Andes
7,306,Neotropic,Montane freshwaters,Orinoco Piedmont
7,307,Neotropic,Tropical and subtropical floodplain rivers and wetland complexes,Orinoco Llanos
7,308,Neotropic,Tropical and subtropical upland rivers,Orinoco Guiana Shield
7,309,Neotropic,large river deltas,Orinoco Delta & Coastal Drainages
7,310,Neotropic,Tropical and subtropical upland rivers,Essequibo
7,311,Neotropic,Tropical and subtropical upland rivers,Guianas
7,312,Neotropic,Montane freshwaters,Amazonas High Andes
8,313,Neotropic,Montane freshwaters,Western Amazon Piedmont
8,314,Neotropic,Tropical and subtropical floodplain rivers and wetland complexes,Rio Negro
8,315,Neotropic,Tropical and subtropical upland rivers,Amazonas Guiana Shield
8,316,Neotropic,Tropical and subtropical floodplain rivers and wetland complexes,Amazonas Lowlands
8,317,Neotropic,Montane freshwaters,Ucayali - Urubamba Piedmont
8,318,Neotropic,Tropical and subtropical upland rivers,Mamore - Madre de Dios Piedmont
8,319,Neotropic,Tropical and subtropical upland rivers,Guapore - Itenez
8,320,Neotropic,Tropical and subtropical upland rivers,Tapajos - Juruena
8,321,Neotropic,Tropical and subtropical upland rivers,Madeira Brazilian Shield
8,322,Neotropic,Tropical and subtropical upland rivers,Xingu
8,323,Neotropic,large river deltas,Amazonas Estuary & Coastal Drainages
8,324,Neotropic,Tropical and subtropical upland rivers,Tocantins - Araguaia
8,325,Neotropic,Tropical and subtropical upland rivers,Parnaiba
8,326,Neotropic,Tropical and subtropical coastal rivers,Northeastern Caatinga & Coastal Drainages
8,327,Neotropic,Tropical and subtropical upland rivers,S. Francisco
9,328,Neotropic,Tropical and subtropical coastal rivers,Northeastern Mata Atlantica
9,329,Neotropic,Tropical and subtropical coastal rivers,Paraiba do Sul
9,330,Neotropic,Tropical and subtropical coastal rivers,Ribeira de Iguape
9,331,Neotropic,Tropical and subtropical coastal rivers,Southeastern Mata Atlantica
9,332,Neotropic,Tropical and subtropical upland rivers,Lower Uruguay
9,333,Neotropic,Tropical and subtropical upland rivers,Upper Uruguay
9,334,Neotropic,Temperate coastal rivers,Laguna dos Patos
9,335,Neotropic,Tropical and subtropical coastal rivers,Tramandai - Mampituba
9,336,Neotropic,Xeric freshwaters and endorheic (closed) basins,Central Andean Pacific Slopes
9,337,Neotropic,Xeric freshwaters and endorheic (closed) basins,Titicaca
9,338,Neotropic,Xeric freshwaters and endorheic (closed) basins,Atacama
9,339,Neotropic,Xeric freshwaters and endorheic (closed) basins,Mar Chiquita - Salinas Grandes
9,340,Neotropic,Montane freshwaters,Cuyan - Desaguadero
9,341,Neotropic,Temperate coastal rivers,South Andean Pacific Slopes
9,342,Neotropic,Tropical and subtropical floodplain rivers and wetland complexes,Chaco
10,343,Neotropic,Tropical and subtropical floodplain rivers and wetland complexes,Paraguay
10,344,Neotropic,Tropical and subtropical upland rivers,Upper Parana
10,345,Neotropic,Temperate floodplain rivers and wetlands,Lower Parana
10,346,Neotropic,Tropical and subtropical upland rivers,Iguassu
10,347,Neotropic,Temperate coastal rivers,Bonaerensean Drainages
10,348,Neotropic,Temperate coastal rivers,Patagonia
10,349,Neotropic,Temperate coastal rivers,Valdivian Lakes
10,350,Neotropic,Oceanic Islands,Galapagos Islands
10,351,Neotropic,Oceanic Islands,Juan Fernandez Island
10,352,Neotropic,Tropical and subtropical coastal rivers,Fluminense
10,401,Palearctic,Polar freshwaters,Iceland - Jan Mayen
10,402,Palearctic,Temperate coastal rivers,Northern British Isles
10,403,Palearctic,Temperate coastal rivers,Cantabric Coast - Languedoc
10,404,Palearctic,Temperate floodplain rivers and wetlands,Central & Western Europe
10,405,Palearctic,Polar freshwaters,Norwegian Sea Drainages
11,406,Palearctic,Polar freshwaters,Northern Baltic Drainages
11,407,Palearctic,Polar freshwaters,Barents Sea Drainages
11,408,Palearctic,Temperate coastal rivers,Southern Baltic Lowlands
11,409,Palearctic,Large lakes,Lake Onega - Lake Ladoga
11,410,Palearctic,Temperate floodplain rivers and wetlands,Volga - Ural
11,411,Palearctic,Xeric freshwaters and endorheic (closed) basins,Western Caspian Drainages
11,412,Palearctic,Temperate coastal rivers,Western Iberia
11,413,Palearctic,Temperate floodplain rivers and wetlands,Southern Iberia
11,414,Palearctic,Temperate floodplain rivers and wetlands,Eastern Iberia
